username,datetime,tweet_text,replies,retweets,likes
Jared Davidson (jaredldavid)@Archetapp·5h,2023-08-03T06:44:23.000Z,They finally brought Xcode to the iPhone!,2,8,56
Azkazaib@azkazaib·Aug 2,2023-08-02T11:23:49.000Z,I have iphone and you?,161,72,842
Mukul Sharma@stufflistings·2h,2023-08-03T09:30:49.000Z,iPhone 14 price during the Amazon Great Freedom Festival.#AmazonGreatFreedomFestival #iPhone14,56,88,337
CHECK YOUR DM@DrightSauce·1h,2023-08-03T10:39:27.000Z,Todays deal iPhone  11 pro NFID . super neat for just 190.000 Naira only Pls RT One time offer ,4,61,26
Fifi@metre_sharrrttt·4h,2023-08-03T07:27:47.000Z,"""Mere pas bhe IPhone hai.""Immy k.",12,20,173
Moeed Pirzada@MoeedNj·4h,2023-08-03T07:59:51.000Z,Tweeting from my laptop has become very slow. typing gets delayed. I end up typing but alphabets slowly appear. as if the whole system has gone very slow! What it indicates? It’s not happening. when I tweet from IPhone? IT experts please help to understand? And solution too! Will… Show more,147,467,1471
 ZOMO GADGET STORE  #Phonevendor #Phoneseller@zomogadget·8m,2023-08-03T11:54:00.000Z,Uk Used iPhone xR #offer (Factory unlocked)₦185.000 - 64GB₦200.000 - 128GB®3𝟒𝟐𝟒𝟗𝟕𝟎LagosAbuja================For order placement and deliverysend a direct message+234 810 596 8619 ||+234 911 659 4688,,1,77
Hot Model MiaKhalifa@H_o_t_Model·4h,2023-08-03T07:47:10.000Z,iPhone 15 or Gaming Night With Mia Khalifa?,38,47,1098
Crypto Go@CryptoGo07·3h,2023-08-03T08:48:35.000Z,Apple iPhone 14,2,1,17
ticketing assistance open!@l4xytsu·1h,2023-08-03T10:12:20.000Z,rush selling iphone/ipad original adaptor: ₱500— used once lang to test if nagana— payo only— can ship sdd/flash exprfs: need funds asap,1,13,12
Reno Omokri@renoomokri·4h,2023-08-03T07:12:26.000Z,The reason you have an identity is because you are unique. You have a unique face. fingerprint. voice and DNA. Nobody on Earth has your unique identity. That is why only your face can open your iPhone. You have no mate. You are you. Bear this in mind whenever anybody uses the… Show more,31,71,342
marcia@prodbyjsy·1h,2023-08-03T10:04:17.000Z,that's an iphone so there's a 50/50 chance she'll be doing some brand promo ,1,4,36
Weegeepie@WeegeepieYT·3h,2023-08-03T08:56:08.000Z,NO WAYIPHONE MRBEASTIFY,3,1,17
Jay Plug Gadgets@Jayplug_ng·3h,2023-08-03T08:36:38.000Z,Awoof offerIPhone 13 Pro Grade A/B+128gbPrice Tag: NGN530.000First come first serve,2,2,15
PcComponentes@pccomponentes·1h,2023-08-03T10:05:02.000Z,¡ 𝐒𝐎𝐑𝐓𝐄𝐀𝐙𝐎 𝐄𝐒𝐓𝐑𝐄𝐋𝐋𝐀 𝐃𝐄 𝐋𝐀 𝐒𝐄𝐌𝐀𝐍𝐀! ¡Llévate el nuevo iPhone 14 Pro Max de 256GB valorado en 1599€! RT  y síguenos Comenta completando la frase. PcComponentes quiero el iPhone14ProMax en ... (ciudad),"1,792","1,776",770
Siphar Gadgets@Siphargadgets·4h,2023-08-03T07:15:51.000Z,So lovely patronize me in buying your UK clean IPhone#AbujaTwitterCommunity#Abuja,1,3,5
Jay Plug Gadgets@Jayplug_ng·8m,2023-08-03T11:54:11.000Z,Sharp dealiPhone 12 64gb 94% bh Price Tag: NGN345.000 only,,1,7
mon@eyhanimon·1h,2023-08-03T10:44:13.000Z,so. let me get this straight.the revamped choreo that includes the iphone ending was made post-bunnies camp? LITERALLY 2 WEEKS BEFORE THE PROMOTION PERIOD / GET UP'S RELEASE? ,,5,49
La_boss_quin@Labossquin1·3h,2023-08-03T09:00:27.000Z,iPhone covers available,,4,7
AINOMUGISHA JUBILANT @Jub2Ainomugisha·4h,2023-08-03T07:54:00.000Z,The kind of iphone  we have in the music industry ,,3,11
𝕏@CyberMemeMaster·2h,2023-08-03T09:52:12.000Z,Just Give me only 1 reason why Android is better than iphoneAndroid is always > in every aspect,2,,31
The Hoarse Whisperer@TheRealHoarse·10m,2023-08-03T11:51:59.000Z,Took this at the skate park in Venice. CA. with an iPhone. Kind of a cool picture.,8,1,144
9to5Mac@9to5mac·14h,2023-08-02T21:46:29.000Z,I downgraded to an iPhone 11 Pro Max – and there's not much I'm missing https://9to5mac.com/2023/08/02/using-iphone-11-pro-max-in-2023/… by @filipeesposito,38,35,269
Apple Hub@theapplehub·15h,2023-08-02T21:00:36.000Z,The iPhone 15 Pro has previously been rumored to come in either a blue or red color optionWhich one would you pick:  or ?,419,563,4734
THE GOD 6LVCK@Oyinda6lvck·1h,2023-08-03T10:36:20.000Z, IPHONE 13 128GB  BH 100% || MDM FU ||  410k,,2,4
maddy@nourishing4what·6h,2023-08-03T05:14:29.000Z,iPhone memories got me ,2,,15
CUNTY @marajcunttyy·17m,2023-08-03T11:45:19.000Z,me when i was 12 convincing my mom to upgrade from an android to iphone before christmas:,,1,12
ʀᴇᴍɴᴀɴᴛ.@remnantposting·8h,2023-08-03T03:35:11.000Z,"The same people who say it's ""too expensive to have kids"" are out here financing dumbass vacations to Aruba. paying for five streaming subscriptions. and making payments on the latest iPhone. ",12,15,167
dani =w=@danniiiidani·12h,2023-08-02T23:08:00.000Z,downgraded my iphone 2g to ios 1.0,1,,17
Emmanuel@Focus265·1h,2023-08-03T10:18:07.000Z,"Ati  "" You can't buy me an iPhone  """,,6,3
prezoh@prezoh·17h,2023-08-02T18:26:56.000Z,ok but what if we actually get to the iphone 378 when the ps6 comes out . then ellen wins ...,10,54,3110
𝗛appy Ustaaz@Ussyy___·1h,2023-08-03T10:49:45.000Z,Please help me retweet my hustleIphone 11pro 256 & 64 & 512gb DM me for good price 08060907093Thank you as you retweet,2,9,10
Felaback @baloturnergram·1h,2023-08-03T10:55:24.000Z, iPhone XS Max 256gb | Factory Unlocked | Mint condition | 100% battery health | No Face ID  | Phone only - #210.000,,3,3
Apple Cycle@theapplecycle·1h,2023-08-03T10:13:29.000Z,The iPhone 15 won’t have a notch anymore!Foreground: iPhone 15Background: iPhone 14Concept: @theapplehub,,5,22
@faktahinachan·7h,2023-08-03T04:13:58.000Z,Okay now Hinachan have 4 phones Samsung Galaxy S10+Samsung Galaxy Z Flip4 ?Iphone 13 Pro ?Iphone Xr,1,9,27
SIR. LATE CUMMER™@CNairobian1_·56m,2023-08-03T11:05:32.000Z,iPhone 15 pro max nayo nitanunua hata kama ni 10 years from now. First iPhone with type c. Same way I have 5 mpaka sai because of lightning cable,,4,19
elle² HSDAY | rwrb ⊬@loueeh_oioi·11m,2023-08-03T11:51:02.000Z,they were posing for this picture they forgot to hide nicks lilac iphone smsnsk,1,,1
Hardtke Lab @hardtke_lab·7h,2023-08-03T04:54:57.000Z,“The Lonely Gibberellin Mutant”Oil on iPhone. 2023,,3,33
leaky_dot@leaky_dot·51m,2023-08-03T11:10:30.000Z,Cloud gaming really works great on full LTE. iPhone 13. @NVIDIAGFN,,1,1
GTpharouq | LordGT@GT_pharouq1·2h,2023-08-03T09:52:39.000Z,I'm the type of guy to use S23 around 100 iPhone 14 sheeps..,3,,4
9jabike@9jabike·3h,2023-08-03T08:59:35.000Z,Sky. Greens & Bikes = Motorsport Heaven. #9jaBike #MotoGP 3rd August Port Harcourt Ronaldo NYSC Chukwuemeka Tacha Kidd Ceec Eniola Badmus Venita Zidane The NLC Thiago Genz Nigerian Army Mali Ancelotti Dangote Cancelo Ramos Apple iPhone 14 Mason Greenwood Baye,8,26,30
Radhika Jethlia@radhikajethlia·17m,2023-08-03T11:44:24.000Z,iPhone 13 mini frame UI Design of My LinkedIn Page .If you want any UI Designs then DM me or email me- radhikaadesigner@gmail.com.,2,2,7
محمد@Next_2023·1h,2023-08-03T10:46:28.000Z,شهر واحد يفصلنا على موعد الاعلان الرسمي لجهاز وسلسلة iPhone 15 كم حماسك من عشره؟,66,79,74
nyon@younghooncousin·6h,2023-08-03T05:53:15.000Z,notice how sunwoo has a deteriorating phone? now look at what phone it is: AN IPHONE. not an android! he would rather use a broken iphone than a droid. that’s king behavior!,2,,9
S.A.M@BigS_A_M·1h,2023-08-03T10:21:25.000Z,The strong bond between iPhone users and toilet mirror can never be broken.,,3,6
Omega@omega_davix·19h,2023-08-02T16:40:29.000Z,Imagine being born because your mother wanted an iPhone,5,12,55
⌥@_xxdr0·14h,2023-08-02T21:25:25.000Z,in other news. i want to sell an iphone x for 130k. it’s working fine.,,9,12
Deep Patil@dp_2511·2h,2023-08-03T09:49:02.000Z,Even my 14 plus is on 97% percent within 2 months i.e 31st aug and now it’s 96% within 2 days. Like what the hell apple. iPhone 14 plus the longest power back up this how you give to us @Apple @AppleSupport do the needful to the consumer who believe in such a big brand,1,3,8
@dprswz·7h,2023-08-03T04:47:35.000Z,munched iphone mini holding on for dear life,,2,8
heart@heartlocketxo·9h,2023-08-03T02:26:33.000Z,Are u even real if we only talk thru th iPhone,1,6,30
